20.00	0.8
20.55	0.7
21.11	0.6
21.69	0.5
22.29	0.4
22.90	0.3
23.53	0.3
24.18	0.3
24.84	0.3
25.52	0.3
26.22	0.3
26.94	0.4
27.68	0.4
28.44	0.5
29.22	0.6
30.03	0.6
30.85	0.7
31.70	0.8
32.57	0.8
33.46	0.9
34.38	1.0
35.33	1.0
36.30	1.1
37.29	1.1
38.32	1.1
39.37	1.1
40.45	1.2
41.56	1.2
42.70	1.1
43.87	1.1
45.08	1.1
46.32	1.1
47.59	1.1
48.90	1.0
50.24	1.0
51.62	1.0
53.03	0.9
54.49	0.9
55.99	0.9
57.52	0.9
59.10	0.9
60.73	0.9
62.39	0.9
64.11	0.9
65.87	1.0
67.68	1.0
69.54	1.0
71.44	1.1
73.41	1.1
75.42	1.1
77.49	1.2
79.62	1.3
81.81	1.3
84.05	1.4
86.36	1.4
88.73	1.5
91.17	1.5
93.67	1.5
96.25	1.5
98.89	1.5
101.60	1.5
104.39	1.5
107.26	1.4
110.21	1.4
113.23	1.4
116.34	1.4
119.54	1.4
122.82	1.4
126.19	1.4
129.66	1.3
133.22	1.3
136.87	1.2
140.63	1.1
144.50	1.0
148.46	0.9
152.54	0.7
156.73	0.6
161.03	0.5
165.45	0.3
170.00	0.2
174.67	0.1
179.46	0.0
184.39	0.0
189.45	-0.1
194.65	-0.1
200.00	-0.1
205.49	-0.1
211.13	-0.1
216.93	-0.2
222.89	-0.2
229.01	-0.2
235.30	-0.1
241.76	0.0
248.40	0.2
255.22	0.5
262.23	0.8
269.43	1.1
276.83	1.5
284.43	1.8
292.24	2.0
300.26	2.0
308.51	1.9
316.98	1.6
325.68	1.3
334.63	1.1
343.81	0.8
353.26	0.7
362.96	0.6
372.92	0.6
383.16	0.6
393.68	0.6
404.49	0.6
415.60	0.6
427.01	0.6
438.74	0.6
450.79	0.5
463.17	0.4
475.88	0.2
488.95	0.1
502.38	0.1
516.17	0.1
530.35	0.1
544.91	0.2
559.87	0.2
575.25	0.3
591.04	0.4
607.27	0.4
623.95	0.4
641.08	0.4
658.68	0.3
676.77	0.2
695.35	0.2
714.45	0.2
734.07	0.2
754.22	0.3
774.94	0.5
796.21	0.7
818.08	0.9
840.54	1.1
863.62	1.1
887.34	1.0
911.70	0.8
936.74	0.6
962.46	0.4
988.89	0.2
1016.04	0.0
1043.94	0.0
1072.61	0.0
1102.06	0.1
1132.33	0.1
1163.42	0.0
1195.37	-0.1
1228.19	-0.2
1261.91	-0.1
1296.57	0.0
1332.17	0.0
1368.75	0.0
1406.34	0.0
1444.95	-0.1
1484.63	-0.2
1525.40	-0.3
1567.28	-0.4
1610.32	-0.4
1654.54	-0.5
1699.97	-0.5
1746.65	-0.4
1794.61	-0.3
1843.89	0.0
1894.53	0.1
1946.55	0.2
2000.00	0.1
2054.92	0.0
2111.35	0.0
2169.32	0.1
2228.89	0.3
2290.10	0.2
2352.98	0.0
2417.59	-0.2
2483.98	-0.2
2552.19	0.0
2622.27	0.1
2694.27	0.2
2768.26	0.2
2844.27	0.2
2922.37	0.2
3002.62	0.0
3085.07	-0.1
3169.79	-0.2
3256.83	-0.1
3346.26	0.4
3438.14	1.1
3532.55	1.8
3629.56	2.3
3729.22	2.2
3831.62	1.7
3936.84	1.0
4044.94	0.2
4156.01	-0.6
4270.14	-1.2
4387.39	-1.5
4507.87	-1.6
4631.65	-1.3
4758.83	-0.5
4889.51	0.1
5023.77	-0.1
5161.72	-0.1
5303.46	-0.1
5449.09	-0.1
5598.72	0.0
5752.46	-0.1
5910.42	-0.3
6072.72	-0.6
6239.47	-0.7
6410.80	-0.3
6586.84	0.5
6767.71	1.2
6953.55	1.7
7144.49	2.1
7340.67	2.4
7542.24	2.4
7749.35	2.0
7962.14	2.1
8180.78	2.7
8405.42	3.1
8636.23	3.0
8873.37	2.7
9117.03	2.8
9367.38	3.2
9624.61	3.2
9888.89	2.8
10160.44	2.7
10439.44	2.3
10726.10	2.0
11020.63	2.5
11323.25	3.2
11634.18	3.5
11953.65	3.3
12281.89	2.8
12619.15	2.5
12965.66	3.5
13321.69	3.9
13687.50	3.1
14063.35	2.7
14449.52	2.3
14846.30	2.3
15253.97	2.1
15672.84	1.6
16103.21	1.0
16545.39	2.3
16999.72	2.8
17466.52	1.8
17946.14	0.9
18438.94	1.0
18945.26	2.3
19465.49	1.6
20000.00	2.2
